customer_id,customer_name,email,registration_date,customer_type
1,Patricia Robinson,bakercynthia@example.org,2024-10-10,REGULAR
2,Jeffrey Patterson,jameshester@example.net,2025-12-06,REGULAR
3,April Villa,haleywoods@example.com,2026-01-09,VIP
4,Lisa Hayes,asimpson@example.org,2024-09-20,VIP
5,Russell Williams,james98@example.org,2025-11-17,REGULAR
6,Nicholas Young,derrickstrickland@example.org,2025-12-20,REGULAR
7,Kyle Brooks,gcarpenter@example.net,2026-03-13,REGULAR
8,Marcus Miller,kevin48@example.org,2026-04-14,VIP
9,Karina Russell,qjones@example.com,2026-02-09,REGULAR
10,Mark Casey,jonespeter@example.com,2025-10-06,VIP
11,Tiffany Jackson,jwagner@example.com,2024-12-01,REGULAR
12,Gabriela Stone,dominique13@example.net,2025-12-17,PREMIUM
13,Rachel Johnston,wagnerchristopher@example.net,2025-10-05,REGULAR
14,Caroline Donovan,james68@example.com,2026-02-15,REGULAR
15,Jennifer Jackson,kbrown@example.net,2025-02-04,PREMIUM
16,Arthur Franco,hflores@example.net,2026-04-01,REGULAR
17,Tara Carter,collinslarry@example.com,2025-11-29,PREMIUM
18,Lindsey Taylor,sanchezangela@example.com,2025-09-26,PREMIUM
19,Matthew Snyder,ygarrison@example.org,2024-09-23,PREMIUM
20,Mrs. Peggy Bryant MD,wcampbell@example.net,2025-10-26,REGULAR
21,Christopher Watts,jaredweeks@example.net,2025-11-29,VIP
22,Nicholas Jacobs,debbie55@example.com,2024-12-07,PREMIUM
23,Erica Young,sabrinagray@example.org,2026-05-15,PREMIUM
24,Steven Collins,michaeljohnston@example.com,2025-01-03,VIP
25,Robert Cain,gporter@example.org,2025-06-11,PREMIUM
26,Veronica Williamson,andreacarpenter@example.net,2025-10-17,VIP
27,Emily Bartlett,patricia96@example.net,2026-04-23,VIP
28,Brandy Edwards,nicholasbell@example.com,2024-09-26,PREMIUM
29,Ryan Ortega,kevin73@example.net,2025-02-03,REGULAR
30,Heidi Rodriguez,davidcarter@example.com,2024-10-01,PREMIUM
31,Scott Bishop,caleb64@example.net,2025-06-29,VIP
32,Michael Stanley,williamdavis@example.org,2025-08-21,REGULAR
33,Joseph Lopez,youngalyssa@example.org,2025-07-11,REGULAR
34,Adrienne Hall,john24@example.net,2026-05-03,VIP
35,Casey Phillips DDS,marywilliamson@example.net,2025-02-26,VIP
36,Nathan Farmer,virginiasmith@example.org,2026-03-13,VIP
37,Anthony Lin,ithompson@example.net,2024-11-07,VIP
38,Christina Taylor,karayoung@example.org,2024-10-22,PREMIUM
39,Kyle Greer,perezcaitlin@example.com,2025-06-14,VIP
40,Brenda Long,gregorykevin@example.com,2025-12-13,REGULAR
41,Johnny Cox,dfowler@example.org,2026-03-08,REGULAR
42,Stephanie Wilson,reesesarah@example.net,2025-04-20,REGULAR
43,Michael Duran,joshua85@example.org,2024-08-04,PREMIUM
44,Amy Wiggins,tim07@example.org,2025-09-07,REGULAR
45,Jill Martin,amorris@example.com,2026-03-12,VIP
46,Lisa Joyce,carterjohn@example.com,2025-10-05,PREMIUM
